Delivery_ID,Latitude,Longitude,Package_Weight_kg,Priority
D001,30.7151663,76.7925299,4.19,Low
D002,30.7764054,76.7464232,3.08,Medium
D003,30.7586811,76.7166925,8.37,Medium
D004,30.7404981,76.8332131,3.89,Medium
D005,30.6852857,76.8297752,3.17,Medium
D006,30.6895922,76.8203988,5.66,Medium
D007,30.6851918,76.7512762,1.84,Medium
D008,30.7641274,76.7246426,8.12,Medium
D009,30.7421404,76.8042185,1.21,Low
D010,30.7551745,76.7697422,9.88,Low
D011,30.6928667,76.7372592,7.84,Low
D012,30.7874136,76.7722304,2.39,Medium
D013,30.7613046,76.7194711,0.55,Low
D014,30.6981783,76.83156,8.25,Medium
D015,30.6932285,76.7425067,7.22,High
D016,30.6925588,76.8001059,7.43,Low
D017,30.7067442,76.7512864,7.83,Medium
D018,30.7332773,76.7808065,1.2,Medium
D019,30.7216213,76.7839272,3.91,Low
D020,30.7066952,76.7322661,1.6,Low
D021,30.7404981,76.8332131,8.7,Low
D022,30.6872829,76.8161472,6.42,Low
D023,30.7065176,76.8388124,3.64,High
D024,30.7143021,76.8331053,1.1,High
D025,30.7252999,76.7915224,3.45,Medium
D026,30.7612281,76.8257332,3.59,High
D027,30.6939703,76.7372822,7.43,High
D028,30.7318942,76.7350166,6.56,Low
D029,30.7434356,76.7126074,8.93,High
D030,30.6851918,76.7512762,4.99,Medium
